Timestamp,Sensor ID,Pressure (PSI),Temperature (°C),Voltage (V),Raw Data
2025-06-18 12:16:59,CD01,3239.39,26,1.91,A0CD01082D57A74E290000000000000000000000
2025-06-18 12:16:59,CD01,3239.39,26,1.91,00CD01082D57A74E290000000000000000000000
2025-06-18 12:17:01,CD01,-15.0,26,3.08,A0CD01082D00004E9E0000000000000000000000
2025-06-18 12:17:11,39F4,-0.35,25,1.53,A039F43C0100654D030000000000000000000000
2025-06-18 12:17:12,CD01,3239.39,26,1.91,A0CD01082D57A74E290000000000000000000000
2025-06-18 12:17:12,CD01,3239.39,26,1.91,A0CD01082D57A74E290000000000000000000000
2025-06-18 12:17:13,CD01,-15.0,26,3.08,A0CD01082D00004E9E0000000000000000000000
2025-06-18 12:17:13,CD01,-15.0,26,3.08,A0CD01082D00004E9E0000000000000000000000
2025-06-18 12:17:14,CD01,-15.0,26,3.08,A0CD01082D00004E9E0000000000000000000000
2025-06-18 12:17:20,CD01,3239.39,26,1.91,A0CD01082D57A74E290000000000000000000000
2025-06-18 12:17:21,CD01,-15.0,26,3.08,A0CD01082D00004E9E0000000000000000000000
2025-06-18 12:17:21,CD01,-15.0,26,3.08,A0CD01082D00004E9E0000000000000000000000
2025-06-18 12:17:22,CD01,-15.0,26,3.08,A0CD01082D00004E9E0000000000000000000000
2025-06-18 12:17:22,CD01,-15.0,26,3.08,A0CD01082D00004E9E0000000000000000000000
2025-06-18 12:17:33,CD01,3238.23,26,3.45,A0CD01082D579F4EC30000000000000000000000
2025-06-18 12:17:33,CD01,3238.23,26,3.45,A0CD01082D579F4EC30000000000000000000000
2025-06-18 12:17:33,CD01,3238.23,26,3.45,A0CD01082D579F4EC30000000000000000000000
2025-06-18 12:17:34,CD01,-15.0,26,3.08,A0CD01082D00004E9E0000000000000000000000
2025-06-18 12:17:34,CD01,-15.0,26,3.08,A0CD01082D00004E9E0000000000000000000000
2025-06-18 12:17:35,CD01,-15.0,26,3.08,A0CD01082D00004E9E0000000000000000000000
2025-06-18 12:39:57,0000,-15.0,-52,1.5,0000000000000000000000000000000000000000
2025-06-18 12:40:05,CD01,-15.0,25,3.89,A0CD01082D00004DEF0000000000000000000000
2025-06-18 12:40:16,CD01,3238.23,26,3.45,A0CD01082D579F4EC30000000000000000000000
2025-06-18 12:40:22,CD01,3238.23,26,3.45,A0CD01082D579F4EC30000000000000000000000
2025-06-18 12:40:22,CD01,3238.23,26,3.45,A0CD01082D579F4EC30000000000000000000000
2025-06-18 12:41:56,0000,-15.0,-52,1.5,0000000000000000000000000000000000000000
2025-06-18 12:42:22,CD01,-15.0,25,3.89,A0CD01082D00004DEF0000000000000000000000
